controlId,family,practice,implementedBy,status,evidencePath,notes
3.3.3,AU,Review and process audit logs in a timely manner to detect inappropriate or unusual activity,app-control,partial,docs/runbooks/observability.md,"Audit log data is stored and queryable. OBSERVABILITY SHIPPED: a Prometheus+Grafana+Jaeger in-boundary stack now provides near-real-time review of the egress chokepoint + classifier signals with critical alerts on chokepoint/classifier failure; formal full-log review cadence + SIEM correlation of audit_logs records remain a documented integration point"
3.3.4,AU,Alert in the event of an audit logging process failure,app-control,partial,docs/runbooks/observability.md,"DB-level trigger failures surface as errors. OBSERVABILITY SHIPPED: the egress decision persist is fire-and-forget and the chokepoint emits cosmos_egress_errors_total on any chokepoint exception (EgressChokepointErroring alert, critical). A dedicated alert on an audit_logs WRITE failure specifically (vs the egress decision path) is the remaining gap — wire an audit-write failure counter to the same Prometheus alerting sink"
3.3.5,AU,Correlate audit record review; analysis; and reporting processes for investigation and response to indications of unlawful; unauthorized; suspicious; or unusual activity,app-control,partial,-,"Logs are append-only and queryable; metrics+traces are correlated in Grafana/Jaeger (trace exemplars link a metric spike to its trace). Cross-event correlation across audit_logs + telemetry (SIEM / log aggregation, e.g. Loki) is not yet deployed — the documented observability follow-on"
3.3.6,AU,Provide audit record reduction and report generation to support on-demand analysis and after-the-fact investigation,app-control,partial,-,Audit log table supports query by orgId/userId/action/time; formal report-generation tooling not yet built; planned
3.3.7,AU,Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records,app-control,implemented,prisma/migrations/20260606050000_audit_immutability/migration.sql,PostgreSQL CURRENT_TIMESTAMP used for audit timestamps; server time synced via NTP in container image; createdAt IDENTITY seq provides monotonic ordering
3.3.8,AU,Protect audit information and audit tools from unauthorized access; modification; and deletion,app-control,implemented,scripts/audit-worm-export.mjs,DB trigger blocks UPDATE/DELETE on audit_logs and egress_decisions; REVOKE UPDATE/DELETE/TRUNCATE from cosmos_app role; only postgres superuser retains schema-modification rights. Tamper-EVIDENCE added: audit-worm-export.mjs ships audit_logs+egress_decisions (each as an independent per-table export stream/watermark) to the object-locked cosmos-audit-worm bucket (MinIO COMPLIANCE object-lock + append-only key: write + read for verification; NO delete/overwrite/retention-bypass) with a per-table signed sha256 manifest — an offsite immutable anchor that detects post-hoc DB tampering by diff. Exporter connects read-only as cosmos_app (SELECT). In-DB per-row hash-chain now SHIPPED (migration 20260606070000_audit_hash_chain): every audit_logs+egress_decisions row carries a sha256 row_hash binding the prior row's hash + this row's length-framed columns (pgcrypto digest; metadata framed as text never jsonb_each; all-bytes-safe length-prefixed bytea so no NUL separator); a BEFORE INSERT trigger fills it under a per-table advisory lock (no forks - empirically proven on PG16 with 200 concurrent inserts: 0 forks 1 genesis 1 tail all reachable). verify_audit_chain(regclass) + scripts/dsop/verify-audit-chain.mjs (cosmos_app SELECT-only ops one-shot exits non-zero on a break) detect content edits forged/inserted rows mid-chain deletions and missing/duplicate genesis - in-DB tamper-EVIDENCE complementing the offsite WORM anchor (defense in depth). AU-11 RETENTION-PURGE checkpoint now SHIPPED (migration 20260606130000): verify_audit_chain is checkpoint-aware (anchors at genesis OR at the latest signed checkpoint's row_hash once the genesis was purged) and the audit_chain_checkpoint table is append-only for the app (cosmos_app SELECT-only; INSERT/UPDATE/DELETE/TRUNCATE REVOKEd). The checkpoint HMAC sig is verified in scripts/dsop/verify-audit-chain.mjs (the SQL fn anchors structurally; the JS wrapper recomputes HMAC(table||seq||hex(rowHash)) constant-time and exits 2 on a forged/unverifiable checkpoint) - so a forged checkpoint that re-anchors a tampered chain is still caught. See docs/runbooks/audit-integrity.md sec 4 (the retention-purge checkpoint procedure)
3.3.9,AU,Limit management of audit logging to a subset of privileged users,app-control,implemented,prisma/migrations/20260606050000_audit_immutability/migration.sql,Audit retention settings gated behind platform-owner role; cosmos_app cannot modify audit table schema; retention config requires SECURITY_SETTINGS_MANAGE permission bit
3.4.1,CM,Establish and maintain baseline configurations and inventories of organizational systems,gate,implemented,evidence/local/sbom.spdx.json,Syft SBOM (SPDX-JSON) enumerates all packages in the container image; published to GHCR as attestation; security.yml gate generates per-build SBOM
3.4.2,CM,Establish and maintain secure configuration settings for information technology products employed in organizational systems,gate,implemented,evidence/local/hadolint.json,hadolint scans Dockerfile for configuration weaknesses; Checkov scans compose manifests; non-root container user enforced; E2E_TEST_AUTH asserted absent in prod build
3.4.3,CM,Track; review; approve; and log changes to organizational systems,app-control,partial,-,Git history + CI gates track code changes; formal change-management board process and approval workflow not yet documented; planned as policy artifact
3.4.4,CM,Analyze the security impact of changes prior to implementation,gate,partial,-,CodeQL SAST + Trivy SCA gate on every PR provides automated security analysis; manual security-impact review process not yet formalized; partial credit
3.4.5,CM,Define; document; approve; and enforce physical and logical access restrictions associated with changes to organizational systems,policy,policy-required-not-yet-authored,-,Change-management access policy; branch protection and required-reviewer settings are controls but formal policy not yet authored
3.4.6,CM,Employ the principle of least functionality by configuring organizational systems to provide only essential capabilities,app-control,implemented,Dockerfile,Multi-stage Dockerfile strips build tools from runtime image; non-root user; minimal OS packages; E2E test route compile-excluded from production image
3.4.7,CM,Restrict; disable; or prevent the use of nonessential programs; functions; ports; protocols; and services,app-control,implemented,Dockerfile,Only port 3000 (cosmos) exposed internally; external ports only via Caddy reverse proxy; no SSH daemon in container; --mcp-config absent from gov image by code invariant
3.4.8,CM,Apply deny-by-default and allow-by-exception policy to prevent the use of unauthorized software,app-control,partial,src/lib/runtime-config/guardrails.ts,"Gov tenants have default-deny classification policy; Nango/external-MCP code-blocked for gov. RUNTIME-CONFIG ALLOW-BY-EXCEPTION (design §8): the OrgRuntimeConfig store gates the agent's connector set per-org (enabledConnectors allowlist; a disabled connector's tools are absent from the tool list AND refused at dispatch, audited connector_disabled_block). The gov designation is platform-owner-only (isInternalAdmin); flipping to GOV atomically applies applyGovGuardrails (breadthEnabled=false, mcpEnabled=false, commercial-only connectors stripped) and the tenant-admin runtime-config PATCH is rejected server-side (400) if it tries to re-enable breadth/MCP or a commercial-only connector — a tenant-admin can never lift the guardrails. Proven by guardrails.test.ts + the tenant-class/runtime-config route tests + runtime-config-gating.test.ts. Formal org-wide application allowlist/whitelisting process still not documented (partial)."
3.4.9,CM,Control and monitor user-installed software,policy,policy-required-not-yet-authored,-,End-user software installation policy; out of software scope for the SaaS application itself; policy required by deploying organization
3.5.1,IA,Identify system users; processes acting on behalf of users; and devices,app-control,implemented,src/lib/auth/session.ts,Users authenticated via session token; userId tracked on all audit records; orgId scopes every data query; device/process identity tracked via ipAddress on audit entries
3.5.2,IA,Authenticate (or verify) the identities of those users; processes; or devices as a prerequisite to allowing access to organizational systems,app-control,implemented,src/lib/auth/session.ts,Session middleware rejects unauthenticated requests; all API routes require valid session; session cookie signed and expires_at enforced
3.5.3,IA,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts,app-control,partial,-,In-app OIDC RP (openid-client; PKCE/state/nonce/sig-validated) implemented in src/lib/auth/sso.ts + src/app/api/auth/sso/[orgSlug]/; per-tenant IdpConnection with optional requiredAcr AAL floor — GOV logins rejected when IdP-asserted acr/amr unmet (MFA asserted by Entra/Okta/Ping); enforced-SSO blocks Google bypass (sso-enforcement.ts). SAML/PIV-CAC (Keycloak appliance) + in-app WebAuthn step-up still planned
3.5.4,IA,Employ replay-resistant authentication mechanisms,app-control,partial,-,OIDC RP enforces PKCE + per-request state + nonce + ID-token signature/aud/iss validation (replay-resistant authorization-code exchange) via openid-client; session tokens single-use at creation; CSRF via SameSite cookie. Replay-resistant MFA factor (FIDO2/WebAuthn) still planned for the in-app step-up phase
3.5.5,IA,Employ identifier management,app-control,implemented,src/lib/auth/session.ts,User and org UUIDs are system-generated; no reuse; session IDs are random UUIDs; ApiKey uses prefix+hash pattern (no raw secret storage)
3.5.6,IA,Disable identifiers after a defined inactivity period,app-control,partial,-,Sessions expire via expires_at; inactive user account lockout / identifier disable after configurable inactivity not yet implemented; planned
3.5.7,IA,Enforce a minimum password complexity and change requirements,app-control,partial,-,Password auth path defers to Google OAuth (password policy enforced by Google); local password creation not supported; SSO phase will enforce IdP-side policy
3.5.8,IA,Prohibit password reuse for a specified number of generations,app-control,partial,-,Defers to IdP (Google OAuth); local password management not in scope for v2; SSO phase enforces via IdP policy
3.5.9,IA,Allow temporary password use for system logons with an immediate change requirement,policy,policy-required-not-yet-authored,-,Temporary credential lifecycle policy; defers to IdP; policy required for completeness
3.5.10,IA,Store and transmit only cryptographically-protected passwords,app-control,implemented,src/lib/auth/session.ts,Passwords not stored by the application (OAuth only); ApiKey and ScimToken use bcrypt hash+prefix; session cookie is httpOnly/Secure/SameSite. Stored credential-class secrets — per-tenant OIDC client secrets AND external connector credentials (Google OAuth refresh tokens via connector_credentials.secret_enc; src/lib/integrations/credentials.ts) — are sealed at rest with the AES-256-GCM vault keyring (src/lib/crypto/vault.ts) under a rotatable active key — never stored in plaintext — and that key is itself rotatable (3.13.10). The legacy plaintext Google refresh-token column is drained to the sealed store on first use (self-heal) and then nulled. POST-CUTOVER CREDENTIAL HYGIENE (IA-5, cutover finisher scripts/cutover/revoke-google-tokens.mjs): the per-tenant cutover is COPY-not-move, so a migrated Google OAuth refresh token stays LIVE at the provider after the flip (v1 keeps it as a rollback target during soak). Once the flip is permanent, the script revokes each user's sealed refresh token at Google (POST oauth2.googleapis.com/revoke) — dry-run by default, --confirm to execute, org+provider+per-user scoped, idempotent (an already-revoked token's 400 invalid_token is treated as done), and the token is opened in-boundary for the one call and NEVER logged (the per-token report keys on user_id only) — so a copied credential cannot be used from the decommissioned v1. A rollback PAST the revoke requires user re-consent (documented in docs/runbooks/cutover.md §7)"
3.5.11,IA,Obscure feedback of authentication information during the authentication process,app-control,implemented,src/app/api/auth/,OAuth flow does not echo credentials; no password input field in the application UI; session token not included in API response bodies
3.6.1,IR,Establish an operational incident-handling capability for organizational systems,policy,policy-required-not-yet-authored,-,Incident response plan; IR procedures; contact lists; escalation paths — policy artifacts required by deploying organization
3.6.2,IR,Track; document; and report incidents to designated officials,policy,policy-required-not-yet-authored,-,Incident tracking and reporting procedures; policy artifacts required by deploying organization
3.6.3,IR,Test the organizational incident response capability,policy,policy-required-not-yet-authored,-,IR tabletop exercises and testing cadence; policy artifacts required by deploying organization
3.7.1,MA,Perform maintenance on organizational systems,policy,policy-required-not-yet-authored,-,System maintenance procedures including scheduling and authorization; policy artifacts required by deploying organization
3.7.2,MA,Provide controls on the tools; techniques; mechanisms; and personnel for the performance of system maintenance,policy,policy-required-not-yet-authored,-,Maintenance personnel authorization and tool control policy; policy artifacts required by deploying organization
3.7.3,MA,Ensure equipment removed for off-site maintenance is sanitized,policy,policy-required-not-yet-authored,-,Physical equipment handling policy; not applicable to cloud-deployed software; policy required by deploying organization
3.7.4,MA,Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems,policy,policy-required-not-yet-authored,-,Media sanitization before use policy; policy required by deploying organization
3.7.5,MA,Require MFA for remote maintenance sessions,app-control,partial,-,Admin/maintenance access flows through the same auth path; OIDC RP + GOV AAL floor (requiredAcr) can require IdP-asserted MFA for privileged members (3.5.3 partial); container has no SSH daemon. Full phishing-resistant MFA for all remote-maintenance roles still planned (in-app WebAuthn step-on); remaining 3.5.3 dependency
3.7.6,MA,Supervise the maintenance activities of maintenance personnel without required access authorization,policy,policy-required-not-yet-authored,-,Supervised maintenance procedures; policy required by deploying organization
3.8.1,MP,Protect (i.e.; physically control and securely store) system media containing CUI,policy,policy-required-not-yet-authored,-,Physical media handling policy; cloud storage (MinIO/GovCloud) encrypted at rest; policy for physical media required by deploying organization
3.8.2,MP,Limit access to CUI on system media to authorized users,app-control,implemented,src/lib/abac/require-access.ts,Object storage access requires authenticated session + RBAC check; no direct unauthenticated storage access; ABAC requireAccess gates all data reads
3.8.3,MP,Sanitize or destroy system media before disposal or reuse,policy,policy-required-not-yet-authored,-,Media sanitization/disposal policy; cloud provider (GovCloud/Assured Workloads) responsibility for physical media; policy required for deploying organization
3.8.4,MP,Mark media with necessary CUI markings and distribution limitations,app-control,implemented,src/lib/classification/markings.ts,DataClassification markings (FOUO/CUI/handling instructions) persisted per entity; PDF/CSV/JSON exports include classification banners; markings.ts detectMarkings enforces banner presence
3.8.5,MP,Control access to media containing CUI and maintain accountability for media during transport,inherited,inherited,-,Cloud provider (GCC-High / Assured Workloads) responsibility for physical media transport controls; inherited from platform (GCC-High physical media transport)
3.8.6,MP,Implement cryptographic mechanisms to protect the confidentiality of CUI during transit unless otherwise protected by alternative physical safeguards,app-control,implemented,compose/Caddyfile,TLS via Caddy for all external traffic; internal service-to-service communication on isolated Docker network; MinIO access via HTTPS
3.8.7,MP,Control the use of removable media on system components,policy,policy-required-not-yet-authored,-,Removable media policy; endpoint/infrastructure policy required by deploying organization
3.8.8,MP,Prohibit the use of portable storage devices when such devices have no identifiable owner,policy,policy-required-not-yet-authored,-,Portable storage ownership policy; endpoint/infrastructure policy required by deploying organization
